,age,note_rate,wam,coupon,agency,curr_bal,maturity_date,term
31418DY30,18.0,2.478,159.0,2.0,UMBS,3052693364.0,2036-05-01,177.0
31418DY22,18.0,2.123,159.0,1.5,UMBS,3211771712.0,2036-05-01,177.0
31418DXL1,20.0,3.376,329.0,2.5,UMBS,548156297.7,2051-03-01,349.0
31418DXK3,20.0,2.832,336.0,2.0,UMBS,12281056517.0,2051-03-01,356.0
31418DXJ6,20.0,2.504,336.0,1.5,UMBS,4068378829.0,2051-03-01,356.0
31418DXH0,20.0,2.49,156.0,2.0,UMBS,2191055924.0,2036-03-01,176.0
31418DXG2,20.0,2.137,156.0,1.5,UMBS,1795609985.0,2036-03-01,176.0
31418DX98,19.0,2.442,157.0,2.0,UMBS,2965260068.0,2036-04-01,176.0
31418DX80,19.0,2.11,158.0,1.5,UMBS,2322911570.0,2036-04-01,177.0
31418DWX6,21.0,2.568,155.0,2.0,UMBS,1658440931.0,2036-02-01,176.0
31418DWW8,21.0,2.214,155.0,1.5,UMBS,1092616659.0,2036-02-01,176.0
31418DWS7,21.0,3.399,332.0,2.5,UMBS,941460031.7,2051-02-01,353.0
31418DWR9,21.0,2.862,334.0,2.0,UMBS,23817634246.0,2051-02-01,355.0
31418DWQ1,21.0,2.52,335.0,1.5,UMBS,998093336.3,2051-02-01,356.0
31418DVX7,22.0,2.618,153.0,2.0,UMBS,2201535876.0,2036-01-01,175.0
31418DVW9,22.0,2.228,154.0,1.5,UMBS,2348987504.0,2036-01-01,176.0
31418DVC3,23.0,3.346,329.0,2.5,UMBS,4619633526.0,2050-12-01,352.0
31418DVB5,23.0,2.533,332.0,1.5,UMBS,4079548339.0,2050-12-01,355.0
31418DVA7,23.0,2.904,329.0,2.0,UMBS,18361922155.0,2050-12-01,352.0
31418DV82,22.0,3.373,333.0,2.5,UMBS,2876317137.0,2051-01-01,355.0
31418DV74,22.0,2.889,331.0,2.0,UMBS,28497140214.0,2051-01-01,353.0
31418DV66,22.0,2.518,334.0,1.5,UMBS,1537381316.0,2051-01-01,356.0
31418DUH3,24.0,3.339,328.0,2.5,UMBS,3379504911.0,2050-11-01,352.0
31418DUG5,24.0,2.901,328.0,2.0,UMBS,7847970416.0,2050-11-01,352.0
31418DUF7,24.0,2.525,331.0,1.5,UMBS,1165196213.0,2050-11-01,355.0
31418DUD2,24.0,2.601,151.0,2.0,UMBS,3371759234.0,2035-11-01,175.0
31418DUC4,24.0,2.208,152.0,1.5,UMBS,1073833506.0,2035-11-01,176.0
31418DU83,23.0,2.637,152.0,2.0,UMBS,2409590241.0,2035-12-01,175.0
31418DU75,23.0,2.242,153.0,1.5,UMBS,2772811534.0,2035-12-01,176.0
31418DTR3,25.0,3.297,329.0,2.5,UMBS,5127753114.0,2050-10-01,354.0
31418DTQ5,25.0,2.903,329.0,2.0,UMBS,17187968307.0,2050-10-01,354.0
31418DTP7,25.0,2.532,329.0,1.5,UMBS,207480106.3,2050-10-01,354.0
31418DTM4,25.0,2.629,150.0,2.0,UMBS,3643648336.0,2035-10-01,175.0
31418DTL6,25.0,2.206,151.0,1.5,UMBS,487619476.2,2035-10-01,176.0
31418DTK8,26.0,3.207,211.0,2.5,UMBS,79257556.47,2040-10-01,237.0
31418DST0,26.0,3.311,210.0,2.5,UMBS,93926082.78,2040-09-01,236.0
31418DSQ6,26.0,2.576,87.0,2.0,UMBS,192899154.1,2030-09-01,113.0
31418DSM5,26.0,2.659,149.0,2.0,UMBS,4429786138.0,2035-09-01,175.0
31418DSL7,26.0,2.337,150.0,1.5,UMBS,186276742.2,2035-09-01,176.0
31418DSJ2,26.0,3.347,326.0,2.5,UMBS,9794209652.0,2050-09-01,352.0
31418DSH6,26.0,2.942,324.0,2.0,UMBS,8226842256.0,2050-09-01,350.0
31418DS45,26.0,2.562,326.0,1.5,UMBS,77872913.65,2050-09-01,352.0
31418DRW4,27.0,2.985,327.0,2.0,UMBS,2690870578.0,2050-08-01,354.0
31418DRS3,27.0,3.362,327.0,2.5,UMBS,4913094514.0,2050-08-01,354.0
31418DRR5,27.0,2.671,148.0,2.0,UMBS,2702649507.0,2035-08-01,175.0
31418DRQ7,27.0,3.331,209.0,2.5,UMBS,153145359.9,2040-08-01,236.0
31418DQH8,29.0,3.383,320.0,2.5,UMBS,16441043946.0,2050-06-01,349.0
31418DQG0,29.0,3.296,207.0,2.5,UMBS,355728946.6,2040-06-01,236.0
31418DQF2,29.0,3.046,146.0,2.5,UMBS,1153528588.0,2035-06-01,175.0
31418DQA3,29.0,3.849,323.0,3.0,UMBS,496264199.2,2050-06-01,352.0
31418DQ96,28.0,3.853,326.0,3.0,UMBS,289551710.8,2050-07-01,354.0
31418DQ88,28.0,3.366,326.0,2.5,UMBS,12680960170.0,2050-07-01,354.0
31418DQ70,28.0,3.015,325.0,2.0,UMBS,4296377691.0,2050-07-01,353.0
31418DQ54,28.0,3.038,147.0,2.5,UMBS,820484183.6,2035-07-01,175.0
31418DQ47,28.0,2.674,147.0,2.0,UMBS,2535268488.0,2035-07-01,175.0
31418DQ21,28.0,3.311,209.0,2.5,UMBS,161459706.4,2040-07-01,237.0
31418DPE6,30.0,3.875,324.0,3.0,UMBS,3336883534.0,2050-05-01,354.0
31418DPD8,30.0,3.411,323.0,2.5,UMBS,11534123521.0,2050-05-01,353.0
31418DPC0,30.0,3.015,324.0,2.0,UMBS,1597225380.0,2050-05-01,354.0
31418DPA4,30.0,3.333,205.0,2.5,UMBS,652271586.8,2040-05-01,235.0
31418DP97,29.0,3.032,324.0,2.0,UMBS,1387135002.0,2050-06-01,353.0
31418DP48,29.0,2.669,146.0,2.0,UMBS,3106148372.0,2035-06-01,175.0
31418DNH1,31.0,3.873,323.0,3.0,UMBS,2352414149.0,2050-04-01,354.0
31418DNG3,31.0,3.508,323.0,2.5,UMBS,2357365572.0,2050-04-01,354.0
31418DND0,31.0,3.431,205.0,2.5,UMBS,142226186.6,2040-04-01,236.0
31418DNA6,31.0,3.229,143.0,2.5,UMBS,416890916.2,2035-04-01,174.0
31418DN73,30.0,3.176,144.0,2.5,UMBS,663230479.2,2035-05-01,174.0
31418DN65,30.0,2.773,144.0,2.0,UMBS,1803846724.0,2035-05-01,174.0
31418DMP4,33.0,3.488,202.0,2.5,UMBS,147676973.7,2040-03-01,235.0
31418DMN9,32.0,3.53,321.0,2.5,UMBS,294372444.5,2050-03-01,353.0
31418DMJ8,32.0,3.867,322.0,3.0,UMBS,2024852194.0,2050-03-01,354.0
31418DMD1,32.0,3.142,142.0,2.5,UMBS,397173320.0,2035-03-01,174.0
31418DM90,31.0,2.907,143.0,2.0,UMBS,194040540.3,2035-04-01,174.0
31418DLV2,33.0,4.388,322.0,3.5,UMBS,119755107.1,2050-02-01,355.0
31418DLT7,33.0,3.86,321.0,3.0,UMBS,1670877329.0,2050-02-01,354.0
31418DLS9,34.0,3.503,320.0,2.5,UMBS,875318629.4,2050-02-01,354.0
31418DLQ3,34.0,3.829,202.0,3.0,UMBS,83149800.8,2040-02-01,236.0
31418DLL4,34.0,3.098,140.0,2.5,UMBS,566910394.5,2035-02-01,174.0
31418DKU5,34.0,4.384,321.0,3.5,UMBS,350141495.6,2050-01-01,355.0
31418DKT8,34.0,3.858,320.0,3.0,UMBS,1806432653.0,2050-01-01,354.0
31418DKQ4,35.0,3.499,319.0,2.5,UMBS,1710342243.0,2050-01-01,354.0
