,age,note_rate,wam,coupon,agency,curr_bal,maturity_date,term
3140X54M2,31.0,2.889,142.0,2.0,UMBS,77498116.87,2035-04-01,173.0
3140X54A8,36.0,3.489,317.0,2.5,UMBS,315453070.2,2049-11-01,353.0
3140X53V3,122.0,3.041,53.0,2.5,UMBS,79611705.89,2029-06-01,175.0
3140X4RL2,45.0,4.906,307.0,4.0,UMBS,212873163.7,2049-06-01,352.0
3140X4RK4,45.0,5.367,308.0,4.5,UMBS,104045472.2,2049-06-01,353.0
3140X4QZ2,37.0,3.525,316.0,2.5,UMBS,297140639.9,2049-10-01,353.0
3140X4LU8,45.0,4.932,307.0,4.0,UMBS,721383938.6,2049-03-01,352.0
3140X4HY5,39.0,3.975,313.0,3.0,UMBS,80851449.44,2049-08-01,352.0
3140X4EA0,45.0,4.552,306.0,3.5,UMBS,265783844.8,2049-06-01,351.0
3140X47A8,44.0,4.863,308.0,4.0,UMBS,595450464.0,2049-09-01,352.0
3140X46D3,63.0,4.034,111.0,3.5,UMBS,136674394.5,2033-02-01,174.0
3140X46C5,120.0,3.039,56.0,2.5,UMBS,117936955.0,2031-08-01,176.0
3140X42J4,40.0,4.014,311.0,3.0,UMBS,94143639.2,2049-10-01,351.0
3140X3AX6,48.0,4.745,303.0,4.0,UMBS,96324797.05,2049-03-01,351.0
3140QQBB0,4.0,4.853,355.0,4.0,UMBS,101476609.5,2052-06-01,359.0
3140QPXE2,5.0,4.499,354.0,4.0,UMBS,296875126.2,2052-05-01,359.0
3140QPXD4,6.0,3.908,352.0,3.5,UMBS,147707983.8,2052-04-01,358.0
3140QPVC8,4.0,4.651,355.0,4.0,UMBS,129193997.5,2052-07-01,359.0
3140QPSL2,4.0,4.572,355.0,4.0,UMBS,177336018.7,2052-07-01,359.0
3140QPSD0,5.0,3.93,354.0,3.5,UMBS,153487434.8,2052-07-01,359.0
3140QPPG6,4.0,4.686,355.0,4.0,UMBS,97811514.74,2052-07-01,359.0
3140QPKV8,5.0,4.896,355.0,4.0,UMBS,109932229.9,2052-06-01,360.0
3140QPKL0,5.0,4.153,354.0,3.5,UMBS,192558869.1,2052-06-01,359.0
3140QPGE1,5.0,4.18,354.0,3.5,UMBS,109118812.4,2052-06-01,359.0
3140QPFB8,5.0,4.147,354.0,3.5,UMBS,111928473.0,2052-06-01,359.0
3140QPDP9,5.0,3.424,174.0,3.0,UMBS,80340910.29,2037-05-01,179.0
3140QNZC9,7.0,2.927,172.0,2.5,UMBS,107037653.2,2037-05-01,179.0
3140QNZB1,7.0,2.926,172.0,2.5,UMBS,101170935.5,2037-05-01,179.0
3140QNYM8,6.0,4.251,353.0,3.5,UMBS,96495181.76,2052-04-01,359.0
3140QNYG1,7.0,3.814,352.0,3.0,UMBS,118948318.5,2052-03-01,359.0
3140QNYF3,7.0,3.832,353.0,3.0,UMBS,196995189.2,2052-04-01,360.0
3140QNYE6,7.0,3.378,352.0,2.5,UMBS,115313250.5,2052-04-01,359.0
3140QNWZ1,7.0,3.835,353.0,3.0,UMBS,156877195.6,2052-04-01,360.0
3140QNWX6,7.0,3.846,353.0,3.0,UMBS,106431969.1,2052-04-01,360.0
3140QNWT5,7.0,3.46,352.0,2.5,UMBS,139404361.4,2052-04-01,359.0
3140QNWN8,7.0,3.452,353.0,2.5,UMBS,97210292.73,2052-04-01,360.0
3140QNWK4,7.0,3.46,352.0,2.5,UMBS,85073360.79,2052-04-01,359.0
3140QNUY6,7.0,3.376,352.0,2.5,UMBS,73051901.56,2052-04-01,359.0
3140QNTC6,7.0,3.871,353.0,3.0,UMBS,131316080.2,2052-04-01,360.0
3140QNS78,7.0,3.874,352.0,3.0,UMBS,121487497.6,2052-04-01,359.0
3140QNRW4,8.0,2.47,171.0,2.0,UMBS,88084567.21,2037-03-01,179.0
3140QNRR5,8.0,2.494,172.0,2.0,UMBS,71432287.56,2037-03-01,180.0
3140QNQT2,8.0,3.274,351.0,2.5,UMBS,162963099.7,2052-03-01,359.0
3140QNQS4,9.0,3.256,351.0,2.5,UMBS,106285048.0,2052-03-01,360.0
3140QNQR6,9.0,3.227,350.0,2.5,UMBS,72912735.87,2052-03-01,359.0
3140QNQQ8,8.0,3.282,351.0,2.5,UMBS,205252661.1,2052-03-01,359.0
3140QNQP0,8.0,3.284,351.0,2.5,UMBS,194356901.9,2052-03-01,359.0
3140QNQN5,8.0,3.219,350.0,2.5,UMBS,145229986.5,2052-03-01,358.0
3140QNN57,8.0,3.266,350.0,2.5,UMBS,190888938.4,2052-03-01,358.0
3140QNLC4,8.0,3.723,351.0,3.0,UMBS,68990236.61,2052-03-01,359.0
3140QNKX9,11.0,2.388,168.0,2.0,UMBS,88550324.48,2036-12-01,179.0
3140QNHE5,9.0,3.329,350.0,2.5,UMBS,97405131.33,2052-02-01,359.0
3140QNFS6,9.0,3.341,349.0,2.5,UMBS,234076691.8,2052-02-01,358.0
3140QNFR8,9.0,3.345,350.0,2.5,UMBS,207233910.0,2052-02-01,359.0
3140QNFQ0,11.0,3.319,347.0,2.5,UMBS,106059888.1,2051-11-01,358.0
3140QNFP2,9.0,3.31,349.0,2.5,UMBS,96127704.24,2052-02-01,358.0
3140QNFH0,9.0,3.425,351.0,2.5,UMBS,176495060.6,2052-02-01,360.0
3140QNFG2,8.0,3.345,350.0,2.5,UMBS,153354349.0,2052-02-01,358.0
3140QNFF4,9.0,3.369,350.0,2.5,UMBS,239271605.9,2052-02-01,359.0
3140QNFE7,9.0,3.369,351.0,2.5,UMBS,237674939.3,2052-02-01,360.0
3140QNEW8,9.0,2.985,350.0,2.0,UMBS,98530604.32,2052-02-01,359.0
3140QNEU2,9.0,3.0,350.0,2.0,UMBS,117810343.9,2052-02-01,359.0
3140QNE24,12.0,2.939,346.0,2.0,UMBS,119144642.1,2051-11-01,358.0
3140QNDN9,9.0,3.337,351.0,2.5,UMBS,242988948.8,2052-02-01,360.0
3140QNDM1,9.0,3.306,350.0,2.5,UMBS,240147656.1,2052-02-01,359.0
3140QNDH2,9.0,2.991,349.0,2.0,UMBS,125596845.4,2052-02-01,358.0
3140QNCP5,9.0,3.298,349.0,2.5,UMBS,86980171.84,2052-02-01,358.0
3140QNCL4,9.0,3.007,349.0,2.0,UMBS,85436783.52,2052-02-01,358.0
3140QNCE0,9.0,3.005,349.0,2.5,UMBS,95239577.82,2052-02-01,358.0
3140QNC83,9.0,3.251,350.0,2.5,UMBS,107819683.5,2052-02-01,359.0
3140QNBN1,11.0,3.244,348.0,2.5,UMBS,203528013.7,2051-11-01,359.0
3140QNBL5,11.0,2.848,347.0,2.0,UMBS,373813016.5,2051-11-01,358.0
3140QNA51,9.0,2.475,170.0,2.0,UMBS,73578245.75,2037-01-01,179.0
3140QN2H4,8.0,3.557,350.0,3.0,UMBS,74935851.27,2052-02-01,358.0
3140QMZY3,10.0,3.22,349.0,2.5,UMBS,161715967.1,2052-01-01,359.0
3140QMZV9,10.0,2.996,345.0,2.5,UMBS,114876902.0,2052-01-01,355.0
3140QMYS7,14.0,2.005,164.0,1.5,UMBS,68425200.61,2036-10-01,178.0
3140QMYR9,13.0,2.463,165.0,2.0,UMBS,139003339.2,2037-01-01,178.0
3140QMYN8,13.0,3.238,345.0,2.5,UMBS,130314297.4,2051-10-01,358.0
3140QMYL2,13.0,2.802,344.0,2.0,UMBS,181319297.4,2051-10-01,357.0
3140QMVB7,15.0,3.22,343.0,2.5,UMBS,184512763.6,2051-09-01,358.0
3140QMUW2,11.0,3.277,349.0,2.5,UMBS,141144383.3,2051-12-01,360.0
3140QMUV4,10.0,3.28,349.0,2.5,UMBS,166939236.8,2051-12-01,359.0
3140QMUU6,11.0,3.279,348.0,2.5,UMBS,192460102.4,2051-12-01,359.0
3140QMU69,11.0,3.342,347.0,2.5,UMBS,121382858.7,2051-12-01,358.0
3140QMU51,11.0,3.341,347.0,2.5,UMBS,115305508.3,2051-12-01,358.0
3140QMTQ7,11.0,2.84,347.0,2.0,UMBS,71750848.56,2051-12-01,358.0
3140QMSM7,11.0,3.258,348.0,2.5,UMBS,236110690.3,2051-12-01,359.0
3140QMSC9,11.0,3.24,349.0,2.5,UMBS,218387461.7,2051-12-01,360.0
3140QMSA3,11.0,3.318,349.0,2.5,UMBS,227749854.4,2051-12-01,360.0
3140QMQV9,15.0,3.278,344.0,2.5,UMBS,186747471.8,2051-09-01,359.0
3140QMQT4,14.0,2.834,343.0,2.0,UMBS,200820093.7,2051-09-01,357.0
3140QMQ49,15.0,2.521,163.0,2.0,UMBS,107367441.3,2036-09-01,178.0
3140QMPK4,12.0,1.984,167.0,1.5,UMBS,112422969.9,2036-11-01,179.0
3140QMPH1,12.0,2.021,166.0,1.5,UMBS,121072949.5,2036-11-01,178.0
3140QMKB9,11.0,3.182,348.0,2.5,UMBS,262936891.7,2051-11-01,359.0
3140QMJ96,12.0,3.315,347.0,2.5,UMBS,199515815.4,2051-11-01,359.0
3140QMJ88,12.0,3.299,348.0,2.5,UMBS,209679088.2,2051-11-01,360.0
3140QMJ70,12.0,3.297,348.0,2.5,UMBS,236072934.3,2051-11-01,360.0
3140QMJ62,11.0,3.296,348.0,2.5,UMBS,235117943.5,2051-11-01,359.0
3140QMHS6,12.0,3.199,347.0,2.5,UMBS,238002793.7,2051-11-01,359.0
3140QMHP2,15.0,2.501,163.0,2.0,UMBS,125845113.9,2036-08-01,178.0
3140QMHG2,16.0,3.253,342.0,2.5,UMBS,282886654.9,2051-08-01,358.0
3140QMHE7,16.0,2.834,342.0,2.0,UMBS,149947225.8,2051-08-01,358.0
3140QMFE9,12.0,1.984,167.0,1.5,UMBS,71393456.6,2036-10-01,179.0
3140QMEQ3,12.0,3.153,347.0,2.5,UMBS,240911815.7,2051-10-01,359.0
3140QMB86,13.0,3.286,346.0,2.5,UMBS,284235337.9,2051-10-01,359.0
3140QMA61,13.0,3.255,347.0,2.5,UMBS,99200398.1,2051-10-01,360.0
3140QM5J9,10.0,3.277,349.0,2.5,UMBS,205725115.0,2052-01-01,359.0
3140QM5C4,10.0,3.282,349.0,2.5,UMBS,215359335.1,2052-01-01,359.0
3140QM5B6,10.0,3.281,348.0,2.5,UMBS,177905978.5,2052-01-01,358.0
3140QM4W1,10.0,3.378,350.0,2.5,UMBS,113113283.6,2052-01-01,360.0
3140QM4U5,13.0,3.267,344.0,2.5,UMBS,105736668.1,2051-10-01,357.0
3140QM3T9,13.0,2.833,345.0,2.0,UMBS,263503512.8,2051-10-01,358.0
3140QLYX8,14.0,3.335,346.0,2.5,UMBS,225736059.0,2051-09-01,360.0
3140QLXE1,14.0,3.387,346.0,2.5,UMBS,230110965.6,2051-09-01,360.0
3140QLWP7,14.0,3.394,345.0,2.5,UMBS,155793796.8,2051-09-01,359.0
3140QLVZ6,17.0,2.512,160.0,2.0,UMBS,102748901.2,2036-08-01,177.0
3140QLVY9,17.0,2.008,160.0,1.5,UMBS,90807040.28,2036-09-01,177.0
3140QLVX1,14.0,3.269,344.0,2.5,UMBS,222607264.4,2051-09-01,358.0
3140QLVB9,17.0,3.297,339.0,2.5,UMBS,289890450.5,2051-09-01,356.0
3140QLV78,14.0,3.258,344.0,2.5,UMBS,199379165.4,2051-09-01,358.0
3140QLV60,14.0,3.26,345.0,2.5,UMBS,194230814.3,2051-09-01,359.0
3140QLV45,14.0,3.375,345.0,2.5,UMBS,71800239.04,2051-09-01,359.0
3140QLU95,18.0,2.835,339.0,2.0,UMBS,292941883.5,2051-06-01,357.0
3140QLTX4,14.0,1.978,164.0,1.5,UMBS,79723397.08,2036-08-01,178.0
3140QLTR7,15.0,2.02,163.0,1.5,UMBS,86187903.44,2036-08-01,178.0
3140QLRL2,15.0,3.363,343.0,2.5,UMBS,73922563.61,2051-08-01,358.0
3140QLRK4,15.0,3.276,344.0,2.5,UMBS,192909100.3,2051-08-01,359.0
3140QLNA0,15.0,3.284,341.0,2.5,UMBS,68820847.1,2051-08-01,356.0
3140QLMG8,19.0,2.89,338.0,2.0,UMBS,338992133.1,2051-07-01,357.0
3140QLM29,15.0,3.285,343.0,2.5,UMBS,156489367.9,2051-08-01,358.0
3140QLGY6,16.0,2.916,343.0,2.0,UMBS,232634743.7,2051-07-01,359.0
3140QLGT7,16.0,2.902,343.0,2.0,UMBS,73327205.93,2051-07-01,359.0
3140QLDZ6,16.0,2.927,343.0,2.0,UMBS,222952225.3,2051-07-01,359.0
3140QLDY9,16.0,2.921,342.0,2.0,UMBS,182768111.0,2051-07-01,358.0
3140QLD94,16.0,3.272,343.0,2.5,UMBS,124104005.0,2051-07-01,359.0
3140QLD29,16.0,2.91,343.0,2.0,UMBS,129448106.0,2051-07-01,359.0
3140QLCK0,20.0,3.269,337.0,2.5,UMBS,98790373.05,2051-06-01,357.0
3140QLCH7,19.0,2.778,338.0,2.0,UMBS,354562469.8,2051-06-01,357.0
3140QLC46,19.0,2.471,158.0,2.0,UMBS,95688225.53,2036-04-01,177.0
3140QL7D2,13.0,3.215,344.0,2.5,UMBS,92746934.07,2051-10-01,357.0
3140QL7C4,13.0,3.141,346.0,2.5,UMBS,280118272.2,2051-10-01,359.0
3140QL6W1,13.0,3.349,346.0,2.5,UMBS,126592425.8,2051-10-01,359.0
3140QL6R2,16.0,2.513,162.0,2.0,UMBS,156606027.7,2036-09-01,178.0
3140QL6P6,13.0,3.268,346.0,2.5,UMBS,212578491.0,2051-10-01,359.0
3140QL6K7,16.0,3.276,342.0,2.5,UMBS,269409797.1,2051-09-01,358.0
3140QL6J0,16.0,2.853,342.0,2.0,UMBS,349779230.4,2051-09-01,358.0
3140QKYT9,17.0,2.884,342.0,2.0,UMBS,94691460.79,2051-06-01,359.0
3140QKXM5,20.0,2.465,157.0,2.0,UMBS,121352129.3,2036-03-01,177.0
3140QKXF0,17.0,3.284,342.0,2.5,UMBS,136682180.3,2051-06-01,359.0
3140QKVE5,21.0,3.206,336.0,2.5,UMBS,123002183.6,2051-05-01,357.0
3140QKU89,19.0,2.755,337.0,2.0,UMBS,390520340.8,2051-05-01,356.0
3140QKRF7,18.0,2.578,339.0,1.5,UMBS,120051617.6,2051-05-01,357.0
3140QKNM6,18.0,3.25,341.0,2.5,UMBS,217881251.9,2051-05-01,359.0
3140QKNJ3,18.0,3.247,341.0,2.5,UMBS,214698694.0,2051-05-01,359.0
3140QKN38,19.0,2.592,338.0,1.5,UMBS,89045401.09,2051-05-01,357.0
3140QKMN5,22.0,2.539,155.0,2.0,UMBS,172765466.9,2036-02-01,177.0
3140QKM62,19.0,2.734,339.0,2.0,UMBS,90401784.9,2051-05-01,358.0
3140QKM54,18.0,2.717,340.0,2.0,UMBS,99089879.54,2051-05-01,358.0
3140QKKX5,18.0,2.032,160.0,1.5,UMBS,110512172.1,2036-04-01,178.0
3140QKKE7,21.0,3.298,336.0,2.5,UMBS,71662030.9,2051-04-01,357.0
3140QKAA6,22.0,2.543,155.0,2.0,UMBS,165635746.5,2036-01-01,177.0
3140QK7D4,16.0,2.966,343.0,2.0,UMBS,229297364.9,2051-06-01,359.0
3140QHPA7,23.0,3.266,332.0,2.5,UMBS,118431904.4,2051-01-01,355.0
3140QHNZ4,22.0,2.892,331.0,2.0,UMBS,197771616.4,2051-03-01,353.0
3140QHMY8,20.0,2.482,338.0,1.5,UMBS,176717027.5,2051-03-01,358.0
3140QHHS7,20.0,2.847,338.0,2.0,UMBS,99240528.17,2051-02-01,358.0
3140QHH24,20.0,2.822,337.0,2.0,UMBS,789832898.6,2051-02-01,357.0
3140QHDZ5,23.0,2.92,334.0,2.0,UMBS,318248703.4,2051-01-01,357.0
3140QHCC7,25.0,3.368,317.0,2.5,UMBS,171161768.2,2050-12-01,342.0
3140QHBY0,24.0,2.606,150.0,2.0,UMBS,348009675.2,2035-12-01,174.0
3140QGXJ1,23.0,2.885,331.0,2.0,UMBS,587733516.5,2051-01-01,354.0
3140QGVL8,21.0,2.9,334.0,2.0,UMBS,836700871.0,2051-01-01,355.0
3140QGVE4,21.0,2.558,155.0,2.0,UMBS,386827716.7,2036-01-01,176.0
3140QGVD6,21.0,2.561,155.0,2.0,UMBS,387871291.4,2036-01-01,176.0
3140QGVC8,21.0,2.18,156.0,1.5,UMBS,196010146.8,2036-01-01,177.0
3140QGTZ0,25.0,2.955,307.0,2.0,UMBS,189359674.4,2050-10-01,332.0
3140QGTR8,26.0,2.71,148.0,2.0,UMBS,117950551.2,2035-09-01,174.0
3140QGT31,26.0,3.382,326.0,2.5,UMBS,71732063.3,2050-10-01,352.0
3140QGRW9,22.0,3.461,334.0,2.5,UMBS,167948382.8,2051-01-01,356.0
3140QGPE1,22.0,2.962,334.0,2.0,UMBS,195816319.1,2051-01-01,356.0
3140QGMK0,22.0,3.39,335.0,2.5,UMBS,112821582.1,2051-01-01,357.0
3140QGMJ3,22.0,3.458,335.0,2.5,UMBS,106427382.3,2051-01-01,357.0
3140QGLQ8,26.0,3.398,330.0,2.5,UMBS,124991661.3,2050-11-01,356.0
3140QGLP0,25.0,2.954,322.0,2.0,UMBS,364443496.0,2050-12-01,347.0
3140QGKQ9,22.0,2.568,153.0,2.0,UMBS,695834703.2,2035-12-01,175.0
3140QGBD8,23.0,3.368,335.0,2.5,UMBS,181053718.2,2050-12-01,358.0
3140QGA98,23.0,3.433,333.0,2.5,UMBS,165674171.1,2050-12-01,356.0
3140QGA80,23.0,3.434,333.0,2.5,UMBS,76112865.52,2050-12-01,356.0
3140QGA72,23.0,3.432,332.0,2.5,UMBS,181262607.1,2050-12-01,355.0
3140QGA64,23.0,3.429,332.0,2.5,UMBS,184393275.3,2050-12-01,355.0
3140QG4Y0,21.0,2.855,337.0,2.0,UMBS,854213655.4,2051-02-01,358.0
3140QG4X2,21.0,2.855,337.0,2.0,UMBS,851833141.8,2051-02-01,358.0
3140QFUZ0,23.0,2.921,333.0,2.0,UMBS,353487938.8,2050-11-01,356.0
3140QFSZ3,24.0,3.406,331.0,2.5,UMBS,169192818.5,2050-11-01,355.0
3140QFSD2,24.0,3.341,333.0,2.5,UMBS,96749441.31,2050-11-01,357.0
3140QFNV7,24.0,3.415,332.0,2.5,UMBS,108234560.9,2050-11-01,356.0
3140QFNS4,24.0,3.349,333.0,2.5,UMBS,96299857.09,2050-11-01,357.0
3140QFLD9,26.0,3.04,319.0,2.0,UMBS,198293169.1,2050-08-01,345.0
3140QFHR3,25.0,2.606,149.0,2.0,UMBS,348681934.1,2035-10-01,174.0
3140QFDN6,25.0,2.924,332.0,2.0,UMBS,788782111.6,2050-10-01,357.0
3140QFCP2,25.0,3.43,332.0,2.5,UMBS,205624755.9,2050-10-01,357.0
3140QFCN7,25.0,3.434,331.0,2.5,UMBS,107206808.5,2050-10-01,356.0
3140QFAX7,25.0,2.952,330.0,2.0,UMBS,118405934.4,2050-10-01,355.0
3140QFAH2,25.0,2.549,152.0,2.0,UMBS,107233399.4,2035-10-01,177.0
3140QF4G1,23.0,3.434,333.0,2.5,UMBS,70527959.99,2050-12-01,356.0
3140QF2P3,23.0,2.603,153.0,2.0,UMBS,364554229.0,2035-12-01,176.0
3140QF2D0,26.0,3.381,329.0,2.5,UMBS,67957650.98,2050-09-01,355.0
3140QF2B4,26.0,2.984,319.0,2.0,UMBS,241243658.9,2050-11-01,345.0
3140QEWN8,26.0,3.433,329.0,2.5,UMBS,102352410.4,2050-09-01,355.0
3140QEUQ3,28.0,3.387,318.0,2.5,UMBS,174189055.7,2050-08-01,346.0
3140QEUP5,29.0,3.018,320.0,2.0,UMBS,157362746.4,2050-08-01,349.0
3140QESX1,26.0,3.433,330.0,2.5,UMBS,120944435.0,2050-08-01,356.0
3140QES94,28.0,2.708,147.0,2.0,UMBS,82149803.57,2035-06-01,175.0
3140QEMK5,27.0,3.444,329.0,2.5,UMBS,74391841.99,2050-08-01,356.0
3140QEMJ8,27.0,3.367,328.0,2.5,UMBS,449390446.0,2050-08-01,355.0
3140QEMH2,26.0,3.361,329.0,2.5,UMBS,601216696.0,2050-08-01,355.0
3140QEJG8,27.0,2.606,149.0,2.0,UMBS,118300081.6,2035-08-01,176.0
3140QEHP0,27.0,2.649,148.0,2.0,UMBS,381116754.4,2035-08-01,175.0
3140QEHJ4,28.0,3.393,322.0,2.5,UMBS,380299108.8,2050-08-01,350.0
3140QEFV9,28.0,3.402,330.0,2.5,UMBS,70232316.12,2050-07-01,358.0
3140QEBF8,28.0,3.428,328.0,2.5,UMBS,135473673.2,2050-07-01,356.0
3140QEBE1,28.0,3.437,327.0,2.5,UMBS,135698624.1,2050-07-01,355.0
3140QEAF9,28.0,3.372,330.0,2.5,UMBS,70868789.52,2050-07-01,358.0
3140QE7C0,28.0,2.74,148.0,2.0,UMBS,132367999.0,2035-07-01,176.0
3140QE6Z0,28.0,3.338,322.0,2.5,UMBS,202562523.4,2050-07-01,350.0
3140QE3S9,28.0,3.4,327.0,2.5,UMBS,81811986.69,2050-09-01,355.0
3140QDZL1,29.0,3.424,328.0,2.5,UMBS,138432280.1,2050-06-01,357.0
3140QDZK3,29.0,3.401,328.0,2.5,UMBS,135845653.4,2050-06-01,357.0
3140QDXD1,29.0,3.459,326.0,2.5,UMBS,70482581.23,2050-06-01,355.0
3140QDWH3,28.0,3.386,326.0,2.5,UMBS,533223437.6,2050-06-01,354.0
3140QDWG5,29.0,3.375,326.0,2.5,UMBS,264843192.3,2050-06-01,355.0
3140QDWF7,28.0,3.378,327.0,2.5,UMBS,256881315.2,2050-06-01,355.0
3140QDUN2,29.0,3.468,325.0,2.5,UMBS,130810212.7,2050-06-01,354.0
3140QDTR5,29.0,2.647,146.0,2.0,UMBS,199073434.0,2035-06-01,175.0
3140QDTN4,31.0,3.831,324.0,3.0,UMBS,82025243.85,2050-05-01,355.0
3140QDTM6,31.0,3.514,312.0,2.5,UMBS,158293489.7,2050-03-01,343.0
3140QDKY9,30.0,3.429,326.0,2.5,UMBS,84361509.71,2050-05-01,356.0
3140QDKH6,30.0,3.878,327.0,3.0,UMBS,70320702.24,2050-05-01,357.0
3140QDJ88,30.0,3.275,206.0,2.5,UMBS,96959040.57,2040-05-01,236.0
3140QDGX6,33.0,3.84,317.0,3.0,UMBS,770470469.0,2050-04-01,350.0
3140QDGU2,31.0,3.845,326.0,3.0,UMBS,180369050.5,2050-04-01,357.0
3140QDDW1,31.0,3.532,324.0,2.5,UMBS,113613982.4,2050-04-01,355.0
3140QDDD3,32.0,2.979,142.0,2.0,UMBS,92355576.39,2035-04-01,174.0
3140QDBX1,31.0,3.536,324.0,2.5,UMBS,81581575.94,2050-03-01,355.0
3140QDBD5,32.0,3.893,324.0,3.0,UMBS,74220500.01,2050-03-01,356.0
3140QDBC7,32.0,3.832,323.0,3.0,UMBS,154173351.3,2050-03-01,355.0
3140QDAT1,32.0,3.538,323.0,2.5,UMBS,113562488.4,2050-03-01,355.0
3140QD6D1,28.0,2.658,147.0,2.0,UMBS,201981510.7,2035-07-01,175.0
3140QD4U5,30.0,3.018,325.0,2.0,UMBS,68447423.2,2050-07-01,355.0
3140QD2V5,29.0,3.426,306.0,2.5,UMBS,332908173.8,2050-06-01,335.0
3140QCYQ3,33.0,3.886,323.0,3.0,UMBS,124273373.1,2050-02-01,356.0
3140QCY26,33.0,3.867,323.0,3.0,UMBS,88721671.57,2050-02-01,356.0
3140QCWR3,36.0,3.872,319.0,3.0,UMBS,247325596.7,2049-11-01,355.0
3140QCWC6,35.0,3.541,320.0,2.5,UMBS,331650890.5,2049-11-01,355.0
3140QCVN3,33.0,3.866,323.0,3.0,UMBS,114568269.9,2050-02-01,356.0
3140QCSF4,34.0,3.83,322.0,3.0,UMBS,138392378.6,2050-01-01,356.0
3140QCQ82,34.0,3.834,323.0,3.0,UMBS,148395936.8,2050-01-01,357.0
3140QCMQ6,35.0,3.828,322.0,3.0,UMBS,152019743.7,2049-12-01,357.0
3140QCMP8,35.0,3.834,323.0,3.0,UMBS,74004013.42,2049-12-01,358.0
3140QC5B8,34.0,3.862,320.0,3.0,UMBS,111823969.5,2049-12-01,354.0
3140QC4P8,35.0,3.482,318.0,2.5,UMBS,125470558.6,2049-12-01,353.0
3140QBZU5,37.0,4.375,319.0,3.5,UMBS,102844593.3,2049-10-01,356.0
3140QBXZ6,37.0,3.922,315.0,3.0,UMBS,215618012.4,2049-09-01,352.0
3140QBXY9,37.0,3.92,316.0,3.0,UMBS,220920074.9,2049-10-01,353.0
3140QBTE8,38.0,3.914,318.0,3.0,UMBS,150741080.0,2049-09-01,356.0
3140QBJM1,40.0,4.377,315.0,3.5,UMBS,83667773.92,2049-07-01,355.0
3140QB5B0,36.0,3.874,318.0,3.0,UMBS,223007237.5,2049-10-01,354.0
3140MXM68,3.0,4.972,355.0,4.0,UMBS,70714865.15,2052-08-01,358.0
3140MSTH8,4.0,4.959,356.0,4.0,UMBS,101846861.9,2052-06-01,360.0
3140MSTC9,4.0,5.397,355.0,4.5,UMBS,82080679.96,2052-06-01,359.0
3140MSTB1,4.0,4.934,355.0,4.0,UMBS,120859213.0,2052-06-01,359.0
3140MSBW4,4.0,4.945,356.0,4.0,UMBS,86531137.31,2052-07-01,360.0
3140MSB20,4.0,4.045,356.0,3.5,UMBS,81078804.2,2052-07-01,360.0
3140MRAA5,4.0,4.927,352.0,4.0,UMBS,121716116.2,2052-07-01,356.0
3140MQDB2,4.0,4.88,355.0,4.0,UMBS,244658480.5,2052-06-01,359.0
3140MQCQ0,4.0,4.86,354.0,4.0,UMBS,317234898.9,2052-07-01,358.0
3140MQCP2,4.0,4.226,355.0,3.5,UMBS,89706325.29,2052-06-01,359.0
3140MQC72,4.0,4.852,355.0,4.0,UMBS,118221906.4,2052-07-01,359.0
3140MQAQ2,5.0,4.825,354.0,4.0,UMBS,145510644.3,2052-06-01,359.0
3140MQA33,4.0,4.854,354.0,4.0,UMBS,309417166.0,2052-06-01,358.0
3140MNT63,6.0,3.802,353.0,3.0,UMBS,89478234.37,2052-04-01,359.0
3140MNMX1,6.0,3.87,353.0,3.0,UMBS,116452121.4,2052-05-01,359.0
3140MMZB7,3.0,4.968,355.0,4.0,UMBS,100275445.5,2052-08-01,358.0
3140MMAA6,6.0,3.894,353.0,3.0,UMBS,280816729.7,2052-04-01,359.0
3140ML7M6,6.0,3.492,353.0,2.5,UMBS,117954654.3,2052-04-01,359.0
3140MKHD7,4.0,4.949,354.0,4.0,UMBS,144287233.2,2052-06-01,358.0
3140MKHB1,5.0,4.507,354.0,3.5,UMBS,79536559.36,2052-06-01,359.0
3140MKFU1,6.0,3.663,353.0,3.0,UMBS,142106596.8,2052-05-01,359.0
3140MKFR8,6.0,2.824,172.0,2.0,UMBS,85971597.31,2037-05-01,178.0
3140MKE99,6.0,3.936,352.0,3.0,UMBS,100138838.7,2052-04-01,358.0
3140MJEG6,7.0,3.367,351.0,2.5,UMBS,77143752.89,2052-03-01,358.0
3140MJEF8,8.0,2.983,347.0,2.0,UMBS,106361315.9,2052-03-01,355.0
3140MJ4S1,7.0,3.375,350.0,2.5,UMBS,173456990.0,2052-04-01,357.0
3140MJ4J1,7.0,3.393,350.0,2.5,UMBS,163964369.5,2052-04-01,357.0
3140MHVU0,8.0,3.436,351.0,2.5,UMBS,124170564.4,2052-03-01,359.0
3140MHVT3,8.0,3.021,350.0,2.0,UMBS,158664488.4,2052-03-01,358.0
3140MHUG2,7.0,3.423,350.0,2.5,UMBS,111588320.5,2052-04-01,357.0
3140MHT74,7.0,3.346,350.0,2.5,UMBS,194294527.5,2052-03-01,357.0
3140MHSM2,7.0,3.328,350.0,2.5,UMBS,107170050.5,2052-03-01,357.0
3140MHDQ9,9.0,2.377,170.0,1.5,UMBS,100135688.5,2037-02-01,179.0
3140MGKH3,6.0,3.896,353.0,3.0,UMBS,388871761.7,2052-04-01,359.0
